Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,KOR unit Description,Old DDGEEEPUU
ALP,X,PLTEAM4-----------,QFNL,00020004,Alpine Team Event Quarterfinal 2 Run 4,"Ép. alp. équipes, 1/4 finale 2, manche 4",알파인 스키 혼성 단체전 준준결승 2 런 4,Alpine Team Event Quarterfinal 2 Run 4,"Épreuve alpine par équipes, quart de finale 2, manche 4",알파인 스키 혼성 단체전 준준결승 2 런 4,SubUnit,,N,0,HATH,N,N,Quarterfinal 2 Run 4,"Quart de finale 2, manche 4",준준결승 2 런 4,
ALP,X,PLTEAM4-----------,QFNL,00030000,Alpine Team Event Quarterfinal 3,"Épreuve alpine par équipes, 1/4 finale 3",알파인 스키 혼성 단체전 준준결승 3,Alpine Team Event Quarterfinal 3,"Épreuve alpine par équipes, quart de finale 3",알파인 스키 혼성 단체전 준준결승 3,Unit,,Y,0,HNOC,Y,Y,Quarterfinal 3,Quart de finale 3,준준결승 3,
ALP,X,PLTEAM4-----------,QFNL,00030001,Alpine Team Event Quarterfinal 3 Run 1,"Ép. alp. équipes, 1/4 finale 3, manche 1",알파인 스키 혼성 단체전 준준결승 3 런 1,Alpine Team Event Quarterfinal 3 Run 1,"Épreuve alpine par équipes, quart de finale 3, manche 1",알파인 스키 혼성 단체전 준준결승 3 런 1,SubUnit,,N,0,HATH,N,N,Quarterfinal 3 Run 1,"Quart de finale 3, manche 1",준준결승 3 런 1,
ALP,X,PLTEAM4-----------,QFNL,00030002,Alpine Team Event Quarterfinal 3 Run 2,"Ép. alp. équipes, 1/4 finale 3, manche 2",알파인 스키 혼성 단체전 준준결승 3 런 2,Alpine Team Event Quarterfinal 3 Run 2,"Épreuve alpine par équipes, quart de finale 3, manche 2",알파인 스키 혼성 단체전 준준결승 3 런 2,SubUnit,,N,0,HATH,N,N,Quarterfinal 3 Run 2,"Quart de finale 3, manche 2",준준결승 3 런 2,
ALP,X,PLTEAM4-----------,QFNL,00030003,Alpine Team Event Quarterfinal 3 Run 3,"Ép. alp. équipes, 1/4 finale 3, manche 3",알파인 스키 혼성 단체전 준준결승 3 런 3,Alpine Team Event Quarterfinal 3 Run 3,"Épreuve alpine par équipes, quart de finale 3, manche 3",알파인 스키 혼성 단체전 준준결승 3 런 3,SubUnit,,N,0,HATH,N,N,Quarterfinal 3 Run 3,"Quart de finale 3, manche 3",준준결승 3 런 3,
ALP,X,PLTEAM4-----------,QFNL,00030004,Alpine Team Event Quarterfinal 3 Run 4,"Ép. alp. équipes, 1/4 finale 3, manche 4",알파인 스키 혼성 단체전 준준결승 3 런 4,Alpine Team Event Quarterfinal 3 Run 4,"Épreuve alpine par équipes, quart de finale 3, manche 4",알파인 스키 혼성 단체전 준준결승 3 런 4,SubUnit,,N,0,HATH,N,N,Quarterfinal 3 Run 4,"Quart de finale 3, manche 4",준준결승 3 런 4,
ALP,X,PLTEAM4-----------,QFNL,00040000,Alpine Team Event Quarterfinal 4,"Épreuve alpine par équipes, 1/4 finale 4",알파인 스키 혼성 단체전 준준결승 4,Alpine Team Event Quarterfinal 4,"Épreuve alpine par équipes, quart de finale 4",알파인 스키 혼성 단체전 준준결승 4,Unit,,Y,0,HNOC,Y,Y,Quarterfinal 4,Quart de finale 4,준준결승 4,
ALP,X,PLTEAM4-----------,QFNL,00040001,Alpine Team Event Quarterfinal 4 Run 1,"Ép. alp. équipes, 1/4 finale 4, manche 1",알파인 스키 혼성 단체전 준준결승 4 런 1,Alpine Team Event Quarterfinal 4 Run 1,"Épreuve alpine par équipes, quart de finale 4, manche 1",알파인 스키 혼성 단체전 준준결승 4 런 1,SubUnit,,N,0,HATH,N,N,Quarterfinal 4 Run 1,"Quart de finale 4, manche 1",준준결승 4 런 1,
ALP,X,PLTEAM4-----------,QFNL,00040002,Alpine Team Event Quarterfinal 4 Run 2,"Ép. alp. équipes, 1/4 finale 4, manche 2",알파인 스키 혼성 단체전 준준결승 4 런 2,Alpine Team Event Quarterfinal 4 Run 2,"Épreuve alpine par équipes, quart de finale 4, manche 2",알파인 스키 혼성 단체전 준준결승 4 런 2,SubUnit,,N,0,HATH,N,N,Quarterfinal 4 Run 2,"Quart de finale 4, manche 2",준준결승 4 런 2,
ALP,X,PLTEAM4-----------,QFNL,00040003,Alpine Team Event Quarterfinal 4 Run 3,"Ép. alp. équipes, 1/4 finale 4, manche 3",알파인 스키 혼성 단체전 준준결승 4 런 3,Alpine Team Event Quarterfinal 4 Run 3,"Épreuve alpine par équipes, quart de finale 4, manche 3",알파인 스키 혼성 단체전 준준결승 4 런 3,SubUnit,,N,0,HATH,N,N,Quarterfinal 4 Run 3,"Quart de finale 4, manche 3",준준결승 4 런 3,
