Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,M,326,53,Men's 100m Breaststroke - SB6,100m peito masculino - SB6,Men's 100m Breaststroke - SB6,100m peito masculino - SB6,N
SW,M,327,54,Men's 100m Breaststroke - SB7,100m peito masculino - SB7,Men's 100m Breaststroke - SB7,100m peito masculino - SB7,N
SW,M,328,55,Men's 100m Breaststroke - SB8,100m peito masculino - SB8,Men's 100m Breaststroke - SB8,100m peito masculino - SB8,N
SW,M,329,56,Men's 100m Breaststroke - SB9,100m peito masculino - SB9,Men's 100m Breaststroke - SB9,100m peito masculino - SB9,N
SW,M,331,57,Men's 100m Breaststroke - SB11,100m peito masculino - SB11,Men's 100m Breaststroke - SB11,100m peito masculino - SB11,N
SW,M,332,58,Men's 100m Breaststroke - SB12,100m peito masculino - SB12,Men's 100m Breaststroke - SB12,100m peito masculino - SB12,N
SW,M,333,59,Men's 100m Breaststroke - SB13,100m peito masculino - SB13,Men's 100m Breaststroke - SB13,100m peito masculino - SB13,N
SW,M,334,60,Men's 100m Breaststroke - SB14,100m peito masculino - SB14,Men's 100m Breaststroke - SB14,100m peito masculino - SB14,N
SW,M,401,33,Men's 50m Backstroke - S1,50m costas masculino - S1,Men's 50m Backstroke - S1,50m costas masculino - S1,N
SW,M,402,34,Men's 50m Backstroke - S2,50m costas masculino - S2,Men's 50m Backstroke - S2,50m costas masculino - S2,N
SW,M,403,35,Men's 50m Backstroke - S3,50m costas masculino - S3,Men's 50m Backstroke - S3,50m costas masculino - S3,N
SW,M,404,36,Men's 50m Backstroke - S4,50m costas masculino - S4,Men's 50m Backstroke - S4,50m costas masculino - S4,N
SW,M,405,37,Men's 50m Backstroke - S5,50m costas masculino - S5,Men's 50m Backstroke - S5,50m costas masculino - S5,N
SW,M,421,38,Men's 100m Backstroke - S1,100m costas masculino - S1,Men's 100m Backstroke - S1,100m costas masculino - S1,N
SW,M,422,39,Men's 100m Backstroke - S2,100m costas masculino - S2,Men's 100m Backstroke - S2,100m costas masculino - S2,N
SW,M,426,40,Men's 100m Backstroke - S6,100m costas masculino - S6,Men's 100m Backstroke - S6,100m costas masculino - S6,N
SW,M,427,41,Men's 100m Backstroke - S7,100m costas masculino - S7,Men's 100m Backstroke - S7,100m costas masculino - S7,N
SW,M,428,42,Men's 100m Backstroke - S8,100m costas masculino - S8,Men's 100m Backstroke - S8,100m costas masculino - S8,N
SW,M,429,43,Men's 100m Backstroke - S9,100m costas masculino - S9,Men's 100m Backstroke - S9,100m costas masculino - S9,N
SW,M,430,44,Men's 100m Backstroke - S10,100m costas masculino - S10,Men's 100m Backstroke - S10,100m costas masculino - S10,N
SW,M,431,45,Men's 100m Backstroke - S11,100m costas masculino - S11,Men's 100m Backstroke - S11,100m costas masculino - S11,N
SW,M,432,46,Men's 100m Backstroke - S12,100m costas masculino - S12,Men's 100m Backstroke - S12,100m costas masculino - S12,N
