Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
BV,W,400,4,08,Women's Round of 16 - Match 46,"Femmes, 8e de finale - match 46","Feminino, oitavas de final - jogo 46",Women's Round of 16 - Match 46,"Femmes, 8e de finale - match 46","Feminino, oitavas de final - jogo 46",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 8,Round of 16,8e de finale,Oitavas de Final
BV,W,400,5,00,Women's Lucky Loser,"Femmes, lucky loser","Feminino, repescagem",Women's Lucky Loser,"Femmes, lucky loser","Feminino, repescagem",Phase,14,N,0,NONE,N,N,Women's Lucky Loser,Lucky Loser,Lucky loser,Repescagem
BV,W,400,5,01,Women's Lucky Loser - Match 37,"Femmes, lucky loser - match 37","Feminino, repescagem - jogo 37",Women's Lucky Loser - Match 37,"Femmes, lucky loser - match 37","Feminino, repescagem - jogo 37",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Lucky Loser - Match 1,Lucky Loser,Lucky loser,Repescagem
BV,W,400,5,02,Women's Lucky Loser - Match 38,"Femmes, lucky loser - match 38","Feminino, repescagem - jogo 38",Women's Lucky Loser - Match 38,"Femmes, lucky loser - match 38","Feminino, repescagem - jogo 38",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Lucky Loser - Match 2,Lucky Loser,Lucky loser,Repescagem
BV,W,400,9,00,Women's Preliminary Phase,"Femmes, tour préliminaire","Feminino, fase de grupos",Women's Preliminary Phase,"Femmes, tour préliminaire","Feminino, fase de grupos",Phase,14,N,0,NONE,N,N,Women's Preliminary Phase,Preliminary Phase,Tour préliminaire,Fase de grupos
BV,W,400,A,00,Women's Preliminary - Pool A - Matches,"Femmes, tour préliminaire - poule A","Feminino, fase de grupos - grupo A",Women's Preliminary - Pool A - Matches,"Femmes, tour préliminaire - poule A","Feminino, fase de grupos - grupo A",Phase,14,N,0,NONE,N,N,Women's Preliminary - Pool A - Matches,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,01,Women's Preliminary - Pool A - Match 1,"Fem., tour prélim. - poule A - match 1","fem, fase de grupos - grupo A - jogo 1",Women's Preliminary - Pool A - Match 1,"Femmes, tour préliminaire - poule A - match 1","Feminino, fase de grupos - grupo A - jogo 1",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 1,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,02,Women's Preliminary - Pool A - Match 2,"Fem., tour prélim. - poule A - match 2","fem, fase de grupos - grupo A - jogo 2",Women's Preliminary - Pool A - Match 2,"Femmes, tour préliminaire - poule A - match 2","Feminino, fase de grupos - grupo A - jogo 2",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 2,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,03,Women's Preliminary - Pool A - Match 13,"Fem., tour prélim. - poule A - match 13","fem, fase de grupos - grupo A - jogo 13",Women's Preliminary - Pool A - Match 13,"Femmes, tour préliminaire - poule A - match 13","Feminino, fase de grupos - grupo A - jogo 13",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 3,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,04,Women's Preliminary - Pool A - Match 14,"Fem., tour prélim. - poule A - match 14","fem, fase de grupos - grupo A - jogo 14",Women's Preliminary - Pool A - Match 14,"Femmes, tour préliminaire - poule A - match 14","Feminino, fase de grupos - grupo A - jogo 14",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 4,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,05,Women's Preliminary - Pool A - Match 25,"Fem., tour prélim. - poule A - match 25","fem, fase de grupos - grupo A - jogo 25",Women's Preliminary - Pool A - Match 25,"Femmes, tour préliminaire - poule A - match 25","Feminino, fase de grupos - grupo A - jogo 25",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 5,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,A,06,Women's Preliminary - Pool A - Match 26,"Fem., tour prélim. - poule A - match 26","fem, fase de grupos - grupo A - jogo 26",Women's Preliminary - Pool A - Match 26,"Femmes, tour préliminaire - poule A - match 26","Feminino, fase de grupos - grupo A - jogo 26",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool A - Match 6,Preliminary - Pool A,Tour Préliminaire - poule A,Fase de grupos - grupo A
BV,W,400,B,00,Women's Preliminary - Pool B - Matches,"Femmes, tour préliminaire - poule B","Feminino, fase de grupos - grupo B",Women's Preliminary - Pool B - Matches,"Femmes, tour préliminaire - poule B","Feminino, fase de grupos - grupo B",Phase,14,N,0,NONE,N,N,Women's Preliminary - Pool B - Matches,Preliminary - Pool B,Tour Préliminaire - poule B,Fase de grupos - grupo B
BV,W,400,B,01,Women's Preliminary - Pool B - Match 3,"Fem., tour prélim. - poule B - match 3","fem, fase de grupos - grupo B - jogo 3",Women's Preliminary - Pool B - Match 3,"Femmes, tour préliminaire - poule B - match 3","Feminino, fase de grupos - grupo B - jogo 3",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool B - Match 1,Preliminary - Pool B,Tour Préliminaire - poule B,Fase de grupos - grupo B
BV,W,400,B,02,Women's Preliminary - Pool B - Match 4,"Fem., tour prélim. - poule B - match 4","fem, fase de grupos - grupo B - jogo 4",Women's Preliminary - Pool B - Match 4,"Femmes, tour préliminaire - poule B - match 4","Feminino, fase de grupos - grupo B - jogo 4",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Preliminary - Pool B - Match 2,Preliminary - Pool B,Tour Préliminaire - poule B,Fase de grupos - grupo B
