Discipline,Gender,Event,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Team Event,Old DDGEEE
SSK,M,1000M-------------,2,Men's 1000m,1 000 m hommes,남자 1000 m,Men's 1000m,1 000 m hommes,남자 1000 m,N,SSM010
SSK,M,1500M-------------,3,Men's 1500m,1 500 m hommes,남자 1500 m,Men's 1500m,1 500 m hommes,남자 1500 m,N,SSM015
SSK,M,5000M-------------,4,Men's 5000m,5 000 m hommes,남자 5000 m,Men's 5000m,5 000 m hommes,남자 5000 m,N,SSM050
SSK,M,10000M------------,5,Men's 10000m,10 000 m hommes,남자 10000 m,Men's 10000m,10 000 m hommes,남자 10000 m,N,SSM100
SSK,M,MS----------------,6,Men's Mass Start,Départ groupé hommes,남자 매스스타트,Men's Mass Start,Départ groupé hommes,남자 매스스타트,N,
SSK,M,TEAMPU------------,7,Men's Team Pursuit,Poursuite par équipes hommes,남자 팀추월,Men's Team Pursuit,Poursuite par équipes hommes,남자 팀추월,Y,SSM408
SSK,W,500M--------------,8,Ladies' 500m,500 m dames,여자 500 m,Ladies' 500m,500 m dames,여자 500 m,N,SSW205
SSK,W,1000M-------------,9,Ladies' 1000m,1 000 m dames,여자 1000 m,Ladies' 1000m,1 000 m dames,여자 1000 m,N,SSW010
SSK,W,1500M-------------,10,Ladies' 1500m,1 500 m dames,여자 1500 m,Ladies' 1500m,1 500 m dames,여자 1500 m,N,SSW015
SSK,W,3000M-------------,11,Ladies' 3000m,3 000 m dames,여자 3000 m,Ladies' 3000m,3 000 m dames,여자 3000 m,N,SSW030
SSK,W,5000M-------------,12,Ladies' 5000m,5 000 m dames,여자 5000 m,Ladies' 5000m,5 000 m dames,여자 5000 m,N,SSW050
SSK,W,MS----------------,13,Ladies' Mass Start,Départ groupé dames,여자 매스스타트,Ladies' Mass Start,Départ groupé dames,여자 매스스타트,N,
SSK,W,TEAMPU------------,14,Ladies' Team Pursuit,Poursuite par équipes dames,여자 팀추월,Ladies' Team Pursuit,Poursuite par équipes dames,여자 팀추월,Y,SSW406
SSK,-,------------------,,Speed Skating,Patinage de vitesse,스피드 스케이팅,Speed Skating,Patinage de vitesse,스피드 스케이팅,,SS0000
SSK,-,TEAMPU------------,,Team Pursuit,Poursuite par équipes,팀추월,Team Pursuit,Poursuite par équipes,팀추월,,
SSK,M,------------------,,Men's Speed Skating,Patinage de vitesse hommes,스피드 스케이팅 남자경기,Men's Speed Skating,Patinage de vitesse hommes,스피드 스케이팅 남자경기,,SSM000
SSK,W,------------------,,Ladies' Speed Skating,Patinage de vitesse dames,스피드 스케이팅 여자경기,Ladies' Speed Skating,Patinage de vitesse dames,스피드 스케이팅 여자경기,,SSW000
STK,M,500M--------------,1,Men's 500m,500 m hommes,남자 500 m,Men's 500m,500 m hommes,남자 500 m,N,STM005
STK,M,1000M-------------,2,Men's 1000m,1 000 m hommes,남자 1000 m,Men's 1000m,1 000 m hommes,남자 1000 m,N,STM010
