Discipline,ORIS_NO,ENG Description,FRA Description,KOR Description
CCS,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
CCS,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
CCS,N90A,Media Communication,Communication aux médias,미디어 전달사항
CCS,N90B,News Article,Article de presse,일반 기사
CCS,N90C,IOC News,Actualités du CIO,IOC 뉴스
CCS,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
CCS,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
CUR,C06,Activity List,Liste des activités,활동 리스트
CUR,C07,Training Schedule,Horaire des entraînements,연습 일정
CUR,C08,Competition Schedule,Horaire des compétitions,경기 일정
CUR,C31A,Entries,Inscriptions,엔트리
CUR,C32E,Entry List by NOC,Liste d'inscriptions par CNO,NOC별 엔트리 리스트
CUR,C35,Competition Officials,Officiels de compétition,경기임원
CUR,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
CUR,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - équipes,엔트리 데이터 체크리스트- 팀
CUR,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
CUR,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
CUR,C48A,Original Team Line-up Form,Formulaire de composition initiale de l'équipe,기본 팀 라인업 양식
CUR,C48B,Game Team Line-up Form,Formulaire de composition de l'équipe par partie,경기 팀 라인업 양식
CUR,C48C,Team Line-up Change Form,Formulaire de modification de la composition de l'équipe,팀 라인업 변경 양식
CUR,C48D,On-ice Official Form,Rapport de l'officiel,온 아이스 심판 양식
CUR,C48E,Timing Form,Feuille de chronométrage,시간 계측 양식
CUR,C51A,Line-ups,Composition des équipes,라인업
CUR,C51B,Line-ups,Composition des équipes,라인업
CUR,C54,Team Line-ups,Composition des équipes,팀 라인업
CUR,C56,Extended Team List by NOC,Composition détaillée des équipes par CNO,NOC별 상세 팀 리스트
CUR,C66,Last Stone Draw Control Sheet,Feuille de contrôle du placement de la dernière pierre,마지막 스톤 컨트롤 기록
CUR,C67,Official Communication,Communication officielle,공식 전달사항
CUR,C68,Sport Communication,Communication sportive,종목 전달사항
CUR,C69,Game - Shot by Shot,Déroulement de la partie,경기별 슛 기록
CUR,C73,Game Results,Résultats de la partie,대회 경기결과
CUR,C74A,Session Results and Standings,Résultats de la session et classement,세션 경기결과 및 랭킹
CUR,C74B,Session Results and Standings,Résultats de la session et classement,세션 경기결과 및 랭킹
CUR,C76A,Competition Summary,Résumé de la compétition,경기 개요
CUR,C76B,Final Standings,Classement final,최종 랭킹
CUR,C76C,Competition Matrix,Tableau des rencontres,라운드로빈 경기결과
CUR,C76D,Draw Shot Challenge,Moyenne des tirs à la cible,승부 던지기
CUR,C83,Most Important Shots,Tirs les plus importants,우승 결정 슛
CUR,C84A,Percentage Summary,Résumé des pourcentages,백분율 요약
CUR,C84B,Cumulative Player Statistics by Team,Statistiques individuelles cumulées par équipe,팀별 선수 누적 통계
CUR,C84C1,Shot Success Percentage by Position,Pourcentage de tirs réussis par position,포지션별 샷 성공률
CUR,C84C2,Shot Success Percentage by Gender,Pourcentage de tirs réussis par sexe,성별 샷 성공률
CUR,C84D,Scoring Analysis,Analyse des points marqués,득점 분석
CUR,C84E,Summary of Big Ends,Résumé des manches avec quatre points et plus,대량 득점 엔드 요약
CUR,C84F,Sheet by Sheet Statistics,Statistiques par piste,시트별 통계
CUR,C84G,Time-out Statistics,Statistiques de temps d'arrêt,타임아웃 통계
CUR,C84H,Power Play Analysis,Analyse du Power Play,파워 플레이 분석
CUR,C92B,Medallists,Médaillé(e)s,메달리스트
CUR,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
CUR,C95,Medal Standings,Classement par médailles,메달 순위
CUR,N02A,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
CUR,N02B,Glossary of Terms,Glossaire,용어집
CUR,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
CUR,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
CUR,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
CUR,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
CUR,N17B,WCF World Ranking,Classement de la coupe du monde WCF,WCF 세계 랭킹
CUR,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
CUR,N21,Coach Biography,Biographie d'entraîneur,코치 바이오그래피
CUR,N22,Team Profile,Profil de l'équipe,팀 프로필
CUR,N24,NOC Profile,Profil du CNO,NOC 프로필
CUR,N26,WCF Olympic Qualification,Qualification olympique WCF,WCF 올림픽 출전 자격
CUR,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
CUR,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
CUR,N86A,History,Histoire du sport,스포츠 역사
CUR,N86B,WCF - Federation Facts,Informations sur la Fédération - WCF,WCF - 연맹 현황
CUR,N86C,Qualification Criteria,Systèmes de qualification,출전자격 획득 절차
CUR,N86D,Facility Description,Description du site de compétition,시설 정보
