Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
SW,M,205,9,3,Men's 50m Butterfly - S5 Heats,"50m borboleta masc - S5, eliminatórias","50m mariposa masc - S5, eliminatorias",Men's 50m Butterfly - S5 Heats,"50m borboleta masculino - S5, eliminatórias","50m mariposa masculino - S5, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,205,M,6,Men's 50m Butterfly - S5 VC,"50m borboleta masc - S5, cer. premiação","50m mariposa masc - S5, cer. medallas",Men's 50m Butterfly - S5 Victory Ceremony,"50m borboleta masculino - S5, cerimônia de premiação","50m mariposa masculino - S5, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,206,0,8,Men's 50m Butterfly - S6,50m borboleta masculino - S6,50m mariposa masculino - S6,Men's 50m Butterfly - S6,50m borboleta masculino - S6,50m mariposa masculino - S6,"","",
SW,M,206,1,3,Men's 50m Butterfly - S6 Final,"50m borboleta masculino - S6, final","50m mariposa masc - S6, final",Men's 50m Butterfly - S6 Final,"50m borboleta masculino - S6, final","50m mariposa masculino - S6, final",Final,Final,Final
SW,M,206,9,3,Men's 50m Butterfly - S6 Heats,"50m borboleta masc - S6, eliminatórias","50m mariposa masc - S6, eliminatorias",Men's 50m Butterfly - S6 Heats,"50m borboleta masculino - S6, eliminatórias","50m mariposa masculino - S6, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,206,M,6,Men's 50m Butterfly - S6 VC,"50m borboleta masc - S6, cer. premiação","50m mariposa masc - S6, cer. medallas",Men's 50m Butterfly - S6 Victory Ceremony,"50m borboleta masculino - S6, cerimônia de premiação","50m mariposa masculino - S6, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,207,0,8,Men's 50m Butterfly - S7,50m borboleta masculino - S7,50m mariposa masculino - S7,Men's 50m Butterfly - S7,50m borboleta masculino - S7,50m mariposa masculino - S7,"","",
SW,M,207,1,3,Men's 50m Butterfly - S7 Final,"50m borboleta masculino - S7, final","50m mariposa masc - S7, final",Men's 50m Butterfly - S7 Final,"50m borboleta masculino - S7, final","50m mariposa masculino - S7, final",Final,Final,Final
SW,M,207,9,3,Men's 50m Butterfly - S7 Heats,"50m borboleta masc - S7, eliminatórias","50m mariposa masc - S7, eliminatorias",Men's 50m Butterfly - S7 Heats,"50m borboleta masculino - S7, eliminatórias","50m mariposa masculino - S7, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,207,M,6,Men's 50m Butterfly - S7 VC,"50m borboleta masc - S7, cer. premiação","50m mariposa masc - S7, cer. medallas",Men's 50m Butterfly - S7 Victory Ceremony,"50m borboleta masculino - S7, cerimônia de premiação","50m mariposa masculino - S7, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,228,0,8,Men's 100m Butterfly - S8,100m borboleta masculino - S8,100m mariposa masculino - S8,Men's 100m Butterfly - S8,100m borboleta masculino - S8,100m mariposa masculino - S8,"","",
SW,M,228,1,3,Men's 100m Butterfly - S8 Final,"100m borboleta masculino - S8, final","100m mariposa masc - S8, final",Men's 100m Butterfly - S8 Final,"100m borboleta masculino - S8, final","100m mariposa masculino - S8, final",Final,Final,Final
SW,M,228,9,3,Men's 100m Butterfly - S8 Heats,"100m borboleta masc - S8, eliminatórias","100m mariposa masc - S8, eliminatorias",Men's 100m Butterfly - S8 Heats,"100m borboleta masculino - S8, eliminatórias","100m mariposa masculino - S8, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,228,M,6,Men's 100m Butterfly - S8 VC,"100m borboleta masc - S8, cer. premiação","100m mariposa masc - S8, cer. medallas",Men's 100m Butterfly - S8 Victory Ceremony,"100m borboleta masculino - S8, cerimônia de premiação","100m mariposa masculino - S8, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,229,0,8,Men's 100m Butterfly - S9,100m borboleta masculino - S9,100m mariposa masculino - S9,Men's 100m Butterfly - S9,100m borboleta masculino - S9,100m mariposa masculino - S9,"","",
SW,M,229,1,3,Men's 100m Butterfly - S9 Final,"100m borboleta masculino - S9, final","100m mariposa masc - S9, final",Men's 100m Butterfly - S9 Final,"100m borboleta masculino - S9, final","100m mariposa masculino - S9, final",Final,Final,Final
SW,M,229,9,3,Men's 100m Butterfly - S9 Heats,"100m borboleta masc - S9, eliminatórias","100m mariposa masc - S9, eliminatorias",Men's 100m Butterfly - S9 Heats,"100m borboleta masculino - S9, eliminatórias","100m mariposa masculino - S9, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,229,M,6,Men's 100m Butterfly - S9 VC,"100m borboleta masc - S9, cer. premiação","100m mariposa masc - S9, cer. medallas",Men's 100m Butterfly - S9 Victory Ceremony,"100m borboleta masculino - S9, cerimônia de premiação","100m mariposa masculino - S9, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,230,0,8,Men's 100m Butterfly - S10,100m borboleta masculino - S10,100m mariposa masculino - S10,Men's 100m Butterfly - S10,100m borboleta masculino - S10,100m mariposa masculino - S10,"","",
SW,M,230,1,3,Men's 100m Butterfly - S10 Final,"100m borboleta masculino - S10, final","100m mariposa masc - S10, final",Men's 100m Butterfly - S10 Final,"100m borboleta masculino - S10, final","100m mariposa masculino - S10, final",Final,Final,Final
SW,M,230,9,3,Men's 100m Butterfly - S10 Heats,"100m borboleta masc - S10, eliminatórias","100m mariposa masc - S10, eliminatorias",Men's 100m Butterfly - S10 Heats,"100m borboleta masculino - S10, eliminatórias","100m mariposa masculino - S10, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,230,M,6,Men's 100m Butterfly - S10 VC,"100m borboleta masc-S10, cer. premiação","100m mariposa masc - S10, cer. medallas",Men's 100m Butterfly - S10 Victory Ceremony,"100m borboleta masculino - S10, cerimônia de premiação","100m mariposa masculino - S10, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,231,0,8,Men's 100m Butterfly - S11,100m borboleta masculino - S11,100m mariposa masculino - S11,Men's 100m Butterfly - S11,100m borboleta masculino - S11,100m mariposa masculino - S11,"","",
SW,M,231,1,3,Men's 100m Butterfly - S11 Final,"100m borboleta masculino - S11, final","100m mariposa masc - S11, final",Men's 100m Butterfly - S11 Final,"100m borboleta masculino - S11, final","100m mariposa masculino - S11, final",Final,Final,Final
SW,M,231,9,3,Men's 100m Butterfly - S11 Heats,"100m borboleta masc - S11, eliminatórias","100m mariposa masc - S11, eliminatorias",Men's 100m Butterfly - S11 Heats,"100m borboleta masculino - S11, eliminatórias","100m mariposa masculino - S11, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,231,M,6,Men's 100m Butterfly - S11 VC,"100m borboleta masc-S11, cer. premiação","100m mariposa masc - S11, cer. medallas",Men's 100m Butterfly - S11 Victory Ceremony,"100m borboleta masculino - S11, cerimônia de premiação","100m mariposa masculino - S11, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
