Id,Related Event,order,ENG Description,POR Description,SPA Description
SWW193000,SWW193,193,Women's 400m Freestyle - S13,400m livre feminino - S13,400m estilo libre femenino - S13
SWW194000,SWW000,194,Women's 400m Freestyle - S14,400m livre feminino - S14,400m estilo libre femenino - S14
SWW201000,SWW000,247,Women's 50m Butterfly - S1,50m borboleta feminino - S1,50m mariposa femenino - S1
SWW202000,SWW000,248,Women's 50m Butterfly - S2,50m borboleta feminino - S2,50m mariposa femenino - S2
SWW203000,SWW000,249,Women's 50m Butterfly - S3,50m borboleta feminino - S3,50m mariposa femenino - S3
SWW204000,SWW000,250,Women's 50m Butterfly - S4,50m borboleta feminino - S4,50m mariposa femenino - S4
SWW205000,SWW205,251,Women's 50m Butterfly - S5,50m borboleta feminino - S5,50m mariposa femenino - S5
SWW206000,SWW206,252,Women's 50m Butterfly - S6,50m borboleta feminino - S6,50m mariposa femenino - S6
SWW207000,SWW207,253,Women's 50m Butterfly - S7,50m borboleta feminino - S7,50m mariposa femenino - S7
SWW208000,SWW228,254,Women's 50m Butterfly - S8,50m borboleta feminino - S8,50m mariposa femenino - S8
SWW209000,SWW229,255,Women's 50m Butterfly - S9,50m borboleta feminino - S9,50m mariposa femenino - S9
SWW210000,SWW230,256,Women's 50m Butterfly - S10,50m borboleta feminino - S10,50m mariposa femenino - S10
SWW211000,SWW000,257,Women's 50m Butterfly - S11,50m borboleta feminino - S11,50m mariposa femenino - S11
SWW212000,SWW000,258,Women's 50m Butterfly - S12,50m borboleta feminino - S12,50m mariposa femenino - S12
SWW213000,SWW233,259,Women's 50m Butterfly - S13,50m borboleta feminino - S13,50m mariposa femenino - S13
SWW225000,SWW000,260,Women's 100m Butterfly - S5,100m borboleta feminino - S5,100m mariposa femenino - S5
SWW226000,SWW000,261,Women's 100m Butterfly - S6,100m borboleta feminino - S6,100m mariposa femenino - S6
SWW227000,SWW000,262,Women's 100m Butterfly - S7,100m borboleta feminino - S7,100m mariposa femenino - S7
SWW228000,SWW228,263,Women's 100m Butterfly - S8,100m borboleta feminino - S8,100m mariposa femenino - S8
SWW229000,SWW229,264,Women's 100m Butterfly - S9,100m borboleta feminino - S9,100m mariposa femenino - S9
SWW230000,SWW230,265,Women's 100m Butterfly - S10,100m borboleta feminino - S10,100m mariposa femenino - S10
SWW231000,SWW000,266,Women's 100m Butterfly - S11,100m borboleta feminino - S11,100m mariposa femenino - S11
SWW232000,SWW000,267,Women's 100m Butterfly - S12,100m borboleta feminino - S12,100m mariposa femenino - S12
SWW233000,SWW233,268,Women's 100m Butterfly - S13,100m borboleta feminino - S13,100m mariposa femenino - S13
SWW234000,SWW000,269,Women's 100m Butterfly - S14,100m borboleta feminino - S14,100m mariposa femenino - S14
SWW301000,SWW000,222,Women's 50m Breaststroke - SB1,50m peito feminino - SB1,50m braza femenino - SB1
SWW302000,SWW000,223,Women's 50m Breaststroke - SB2,50m peito feminino - SB2,50m braza femenino - SB2
SWW303000,SWW303,224,Women's 50m Breaststroke - SB3,50m peito feminino - SB3,50m braza femenino - SB3
SWW304000,SWW324,225,Women's 50m Breaststroke - SB4,50m peito feminino - SB4,50m braza femenino - SB4
SWW305000,SWW325,226,Women's 50m Breaststroke - SB5,50m peito feminino - SB5,50m braza femenino - SB5
SWW306000,SWW326,227,Women's 50m Breaststroke - SB6,50m peito feminino - SB6,50m braza femenino - SB6
SWW307000,SWW327,228,Women's 50m Breaststroke - SB7,50m peito feminino - SB7,50m braza femenino - SB7
SWW308000,SWW328,229,Women's 50m Breaststroke - SB8,50m peito feminino - SB8,50m braza femenino - SB8
SWW309000,SWW329,230,Women's 50m Breaststroke - SB9,50m peito feminino - SB9,50m braza femenino - SB9
SWW311000,SWW331,231,Women's 50m Breaststroke - SB11,50m peito feminino - SB11,50m braza femenino - SB11
SWW312000,SWW000,232,Women's 50m Breaststroke - SB12,50m peito feminino - SB12,50m braza femenino - SB12
SWW313000,SWW333,233,Women's 50m Breaststroke - SB13,50m peito feminino - SB13,50m braza femenino - SB13
SWW321000,SWW000,234,Women's 100m Breaststroke - SB1,100m peito feminino - SB1,100m braza femenino - SB1
SWW322000,SWW000,235,Women's 100m Breaststroke - SB2,100m peito feminino - SB2,100m braza femenino - SB2
SWW323000,SWW000,236,Women's 100m Breaststroke - SB3,100m peito feminino - SB3,100m braza femenino - SB3
SWW324000,SWW324,237,Women's 100m Breaststroke - SB4,100m peito feminino - SB4,100m braza femenino - SB4
SWW325000,SWW325,238,Women's 100m Breaststroke - SB5,100m peito feminino - SB5,100m braza femenino - SB5
SWW326000,SWW326,239,Women's 100m Breaststroke - SB6,100m peito feminino - SB6,100m braza femenino - SB6
SWW327000,SWW327,240,Women's 100m Breaststroke - SB7,100m peito feminino - SB7,100m braza femenino - SB7
SWW328000,SWW328,241,Women's 100m Breaststroke - SB8,100m peito feminino - SB8,100m braza femenino - SB8
SWW329000,SWW329,242,Women's 100m Breaststroke - SB9,100m peito feminino - SB9,100m braza femenino - SB9
SWW331000,SWW331,243,Women's 100m Breaststroke - SB11,100m peito feminino - SB11,100m braza femenino - SB11
SWW332000,SWW000,244,Women's 100m Breaststroke - SB12,100m peito feminino - SB12,100m braza femenino - SB12
SWW333000,SWW333,245,Women's 100m Breaststroke - SB13,100m peito feminino - SB13,100m braza femenino - SB13
SWW334000,SWW334,246,Women's 100m Breaststroke - SB14,100m peito feminino - SB14,100m braza femenino - SB14
SWW401000,SWW000,195,Women's 50m Backstroke - S1,50m costas feminino - S1,50m espalda femenino - S1
SWW402000,SWW402,196,Women's 50m Backstroke - S2,50m costas feminino - S2,50m espalda femenino - S2
SWW403000,SWW403,197,Women's 50m Backstroke - S3,50m costas feminino - S3,50m espalda femenino - S3
SWW404000,SWW404,198,Women's 50m Backstroke - S4,50m costas feminino - S4,50m espalda femenino - S4
SWW405000,SWW405,199,Women's 50m Backstroke - S5,50m costas feminino - S5,50m espalda femenino - S5
SWW406000,SWW426,200,Women's 50m Backstroke - S6,50m costas feminino - S6,50m espalda femenino - S6
SWW407000,SWW427,201,Women's 50m Backstroke - S7,50m costas feminino - S7,50m espalda femenino - S7
SWW408000,SWW428,202,Women's 50m Backstroke - S8,50m costas feminino - S8,50m espalda femenino - S8
SWW409000,SWW429,203,Women's 50m Backstroke - S9,50m costas feminino - S9,50m espalda femenino - S9
SWW410000,SWW430,204,Women's 50m Backstroke - S10,50m costas feminino - S10,50m espalda femenino - S10
SWW411000,SWW431,205,Women's 50m Backstroke - S11,50m costas feminino - S11,50m espalda femenino - S11
SWW412000,SWW432,206,Women's 50m Backstroke - S12,50m costas feminino - S12,50m espalda femenino - S12
SWW413000,SWW433,207,Women's 50m Backstroke - S13,50m costas feminino - S13,50m espalda femenino - S13
SWW421000,SWW000,208,Women's 100m Backstroke - S1,100m costas feminino - S1,100m espalda femenino - S1
SWW422000,SWW422,209,Women's 100m Backstroke - S2,100m costas feminino - S2,100m espalda femenino - S2
SWW423000,SWW000,210,Women's 100m Backstroke - S3,100m costas feminino - S3,100m espalda femenino - S3
SWW424000,SWW000,211,Women's 100m Backstroke - S4,100m costas feminino - S4,100m espalda femenino - S4
SWW425000,SWW000,212,Women's 100m Backstroke - S5,100m costas feminino - S5,100m espalda femenino - S5
SWW426000,SWW426,213,Women's 100m Backstroke - S6,100m costas feminino - S6,100m espalda femenino - S6
SWW427000,SWW427,214,Women's 100m Backstroke - S7,100m costas feminino - S7,100m espalda femenino - S7
SWW428000,SWW428,215,Women's 100m Backstroke - S8,100m costas feminino - S8,100m espalda femenino - S8
SWW429000,SWW429,216,Women's 100m Backstroke - S9,100m costas feminino - S9,100m espalda femenino - S9
SWW430000,SWW430,217,Women's 100m Backstroke - S10,100m costas feminino - S10,100m espalda femenino - S10
SWW431000,SWW431,218,Women's 100m Backstroke - S11,100m costas feminino - S11,100m espalda femenino - S11
SWW432000,SWW432,219,Women's 100m Backstroke - S12,100m costas feminino - S12,100m espalda femenino - S12
SWW433000,SWW433,220,Women's 100m Backstroke - S13,100m costas feminino - S13,100m espalda femenino - S13
SWW434000,SWW434,221,Women's 100m Backstroke - S14,100m costas feminino - S14,100m espalda femenino - S14
