Id,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,IndoorOutdoor,Cluster,City
MSJ,N,Mata de São João Trn Site,Mata de São João,Mata de São João Trn Site,Mata de São João Trn Site,Mata de São João Training Site,Site d'entrainement Mata de São João,Mata de São João Training Site,Mata de São João Training Site,,,
MUL,N,Multiple Venues,Site multiples,Multiple Venues,Multiple Venues,Multiple Venues,Site multiples,Multiple Venues,Multiple Venues,,,
OAS,Y,Olympic Aquatics Stadium,Ctre Aquatique olympique,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Centre Aquatique Olympique,Estádio Aquático Olímpico,Estadio Acuático Olímpico,I,BAT,Rio de Janeiro
OF2,N,Olympic Family Hotel 2,Hôtel 2 famille olympique,Hotel Família Olímpica 2,Hotel Familia Olímpica 2,Olympic Family Hotel 2 - Windsor Barra & Oceânico,Hôtel 2 famille olympique - Windsor Barra&Oceânico,Hotel Fam Olímp 2 - Windsor Barra&Windsor Oceânico,Hotel Fam. Olímpica 2 - Windsor Barra & Oceânico,,BAT,Rio de Janeiro
OF3,N,IOC Staff Hotel,Hôtel du personnel du CIO,Hotel Funcionários do COI,Hotel del Personal COI,IOC Staff Hotel - Novotel Barra,Hôtel du personnel du CIO - Novotel Barra,Hotel dos Funcionários do COI - Novotel Barra,Hotel del Personal del COI - Novotel Barra,,BAT,Rio de Janeiro
OFH,N,Main Olympic Family Hotel,Hôtel princ fam olympique,Hotel Princ Família Olímp,Hotel Princ Fam. Olímpica,Main Olympic Family Hotel - Windsor Marapendi,Hôtel principal fam. olympique - Windsor Marapendi,Hotel Princ. Família Olímpica - Windsor Marapendi,Hotel Princ. Familia Olímpica - Windsor Marapendi,,BAT,Rio de Janeiro
OFS,N,Antonio Otoni Filho Stad,Stade Antonio Otoni Filho,Antonio Otoni Filho Stad,Antonio Otoni Filho Stad,Antonio Otoni Filho Stadium,Stade Antonio Otoni Filho,Antonio Otoni Filho Stadium,Antonio Otoni Filho Stadium,,,
OGC,Y,Olympic Golf Course,Parcours olympique - golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,Olympic Golf Course,Parcours olympique de golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,O,BAT,Rio de Janeiro
OH1,N,Olym. Designated Hospital,Hôpital Désigné Olympique,Hosp. Olím. de Referência,Olímp. Hospital Designado,Olympic Designated Hospital,Hôpital Désigné Olympique,Hospital Olímpico de Referência,Olímpico Hospital Designado,I,BAT,Rio de Janeiro
OH2,N,Olympic Hospital 2,Hôpital Olympique 2,Hospital Olímpico 2,Olímpico Hospital 2,Olympic Hospital 2,Hôpital Olympique 2,Hospital Olímpico 2,Olímpico Hospital 2,I,BAT,Rio de Janeiro
OH3,N,Olympic Hospital 3,Hôpital Olympique 3,Hospital Olímpico 3,Olímpico Hospital 3,Olympic Hospital 3,Hôpital Olympique 3,Hospital Olímpico 3,Olímpico Hospital 3,I,BAT,Rio de Janeiro
OHK,Y,Olympic Hockey Centre,Ctre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,O,DEO,Rio de Janeiro
OLS,Y,Olympic Stadium,Stade olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade olympique,Estádio Olímpico,Estadio Olímpico,O,MRZ,Rio de Janeiro
OLV,N,Olympic&Paralympic Vill,Vil. olympique&paralymp.,Vila Olímpica&Paralímpica,Villa Olímp./Paralímpica,Olympic and Paralympic Village,Village olympique et paralympique,Vila Olímpica e Paralímpica,Villa Olímpica y Paralímpica,,BAT,Rio de Janeiro
OSC,Y,Olympic Shooting Centre,Centre olympique de tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre olympique de tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,B,DEO,Rio de Janeiro
OTN,Y,Olympic Tennis Centre,Ctre olympique de tennis,Centro Olímpico de Tênis,Centro Olímpico de Tenis,Olympic Tennis Centre,Centre olympique de tennis,Centro Olímpico de Tênis,Centro Olímpico de Tenis,O,BAT,Rio de Janeiro
OVP,N,Athletes' Park,Parc des Athlètes,Parque dos Atletas,Parque de los atletas,Athletes' Park,Parc des Athlètes,Parque dos Atletas,Parque de los atletas,,BAT,Rio de Janeiro
PBS,N,Pacaembu Stadium-SP,Stade Pacaembu-São Paulo,Estádio Pacaembu-SP,Estadio Pacaembu-SP,Pacaembu Stadium (São Paulo),Stade Pacaembu (São Paulo),Estádio Pacaembu (São Paulo),Estadio Pacaembu (São Paulo),,FBC,São Paulo
PEC,N,Physical Ed. Centre CEFAN,Ctre d'éd. physique CEFAN,Ctr Educação Física CEFAN,Ctro Ed. Física (CEFAN),Navy Physical Education Centre (CEFAN),Centre d'éducation physique Alte A. Nunes (CEFAN),Centro de Educação Físicas (CEFAN),Centro de Educación Física (CEFAN),,MRZ,Rio de Janeiro
