Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
RID,RID,,N,Riocentro Common Domain,Área Comum do Riocentro,Espacio Común Riocentro,Riocentro Common Domain,Área Comum do Riocentro,Espacio Común de Riocentro,
RO1,LAG,1,Y,Lagoa Stadium - Rowing,Estádio da Lagoa - Remo,Estadio de Lagoa - Remo,Lagoa Stadium - Rowing,Estádio da Lagoa - Remo,Estadio de Lagoa - Remo,LAGRO1
ROA,ROA,,Y,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,ROAWB1
ROV,ROV,,Y,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,ROVCT1
SA1,GLO,1,Y,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,GLOSA1
SA2,GLO,2,Y,Ponte,Ponte,Ponte,Ponte,Ponte,Ponte,GLOSA1
SA3,GLO,3,Y,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,GLOSA1
SA4,GLO,4,Y,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,GLOSA1
SA5,GLO,5,Y,Niterói,Niterói,Niterói,Niterói,Niterói,Niterói,GLOSA1
SA6,GLO,6,Y,Pai,Pai,Pai,Pai,Pai,Pai,GLOSA1
SA7,GLO,7,Y,Aeroporto,Aeroporto,Aeroporto,Aeroporto,Aeroporto,Aeroporto,GLOSA1
SBD,SBD,,Y,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,SBDAR1
SDU,SDU,,N,Santos Dumont Airport,Aeroporto Santos Dumont,Aeropuerto Santos Dumont,Santos Dumont Domestic Airport,Aeroporto Doméstico Santos Dumont,Aeropuerto Doméstico Santos Dumont,
SH1,OSC,1,Y,Olympic Shooting - Final Range,Centro Olímpico de Tiro-Finais,Centro Olímpico de Tiro-Final,Olympic Shooting Centre-Pistol & Rifle Final Range,Centro Olímpico de Tiro - Estande de Finais,Centro Olímpico de Tiro-Pistola/Rifle Campo Final,OSCSH1
SH2,OSC,2,Y,Olympic Shooting - 10m Range,Centro Olímpico de Tiro - 10m,Centro Olímpico de Tiro-10m,Olympic Shooting Centre - Pistol & Rifle 10m Range,Centro Olímpico de Tiro - Estande de 10m,Centro Olímpico de Tiro - Pistola/Rifle Campo 10m,OSCSH1
SH3,OSC,3,Y,Olympic Shooting - 25m Range,Centro Olímpico de Tiro - 25m,Centro Olímpico de Tiro-25m,Olympic Shooting Centre - Pistol & Rifle 25m Range,Centro Olímpico de Tiro - Estande de 25m,Centro Olímpico de Tiro - Pistola/Rifle Campo 25m,OSCSH1
SH4,OSC,4,Y,Olympic Shooting - 50m Range,Centro Olímpico de Tiro - 50m,Centro Olímpico de Tiro-50m,Olympic Shooting Centre - Pistol & Rifle 50m Range,Centro Olímpico de Tiro - Estande de 50m,Centro Olímpico de Tiro - Pistola/Rifle Campo 50m,OSCSH1
SSA,SSA,,N,Salvador Intl Airport,Aeroporto Intl Salvador,Aeropuerto Int. Salvador,Salvador International Airport,Aeroporto Internacional de Salvador,Aeropuerto Internacional de Salvador,
SVN,SVN,,N,SESC Venda Nova-BH,SESC Venda Nova-BH,SESC Venda Nova-BH,SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),
SW1,OAS,1,Y,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,OASSW1
SW2,OVP,,N,Athletes' Park - Swimming,Athletes' Park - Swimming,Athletes' Park - Swimming,Athletes' Park - Swimming,Athletes' Park - Swimming,Athletes' Park - Swimming,
TOC,TOC,,N,Technology Ops Centre,Centro de Ope Tecnologia,Ctro de Op. de Tecnología,Technology Operations Centre,Centro de Operações de Tecnologia,Centro de Operaciones de Tecnología,
TR1,FTC,1,Y,Fort Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fuerte de Copacabana-Triatlón,Fort Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fuerte de Copacabana -Triatlón,FTCTR1
TR4,OVP,,N,Athletes' Park - Triathlon,Athletes' Park - Triathlon,Athletes' Park - Triathlon,Athletes' Park - Triathlon,Athletes' Park - Triathlon,Athletes' Park - Triathlon,
TR5,AFU,,N,Air Force Univ. - Triathlon,Air Force Univ. - Triathlon,Air Force Univ. - Triathlon,Air Force University - Triathlon,Air Force University - Triathlon,Air Force University - Triathlon,
TT1,RC3,1,Y,Riocentro - Pavilion 3-TT Tbl1,Riocentro - Pavilhão 3 - TT M1,Riocentro-Pabellón 3-TT Mesa 1,Riocentro - Pavilion 3 - Table Tennis - Table 1,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 1,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 1,RC3TT1
TT2,RC3,2,Y,Riocentro - Pavilion 3-TT Tbl2,Riocentro - Pavilhão 3 - TT M2,Riocentro-Pabellón 3-TT Mesa 2,Riocentro - Pavilion 3 - Table Tennis - Table 2,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 2,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 2,RC3TT1
