Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AT,M,667,M,6,Men's Javelin Throw - F57/58 VC,"Lançamento dardo masc - F57/58,premiação",Men's Javelin Throw - F57/58 Victory Ceremony,"Lançamento do dardo masculino - F57/58, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,667,N,7,Men's Javelin Throw - F57/58 Draw,"Lançamento dardo masc - F57/58, sorteio",Men's Javelin Throw - F57/58 Draw,"Lançamento do dardo masculino - F57/58, sorteio",Draw,Sorteio
AT,M,672,0,8,Men's Javelin Throw - F33/34,Lançamento dardo masc - F33/34,Men's Javelin Throw - F33/34,Lançamento do dardo masculino - F33/34,"",""
AT,M,672,1,3,Men's Javelin Throw - F33/34 Final,"Lançamento dardo masc - F33/34, final",Men's Javelin Throw - F33/34 Final,"Lançamento do dardo masculino - F33/34, final",Final,Final
AT,M,672,9,3,Men's Javelin Throw - F33/34 Qualifying,"Lançamento dardo masc - F33/34, class",Men's Javelin Throw - F33/34 Qualifying,"Lançamento do dardo masculino - F33/34, classificatórias",Qualifying,Classificatória
AT,M,672,M,6,Men's Javelin Throw - F33/34 VC,"Lançamento dardo masc - F33/34,premiação",Men's Javelin Throw - F33/34 Victory Ceremony,"Lançamento do dardo masculino - F33/34, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,672,N,7,Men's Javelin Throw - F33/34 Draw,"Lançamento dardo masc - F33/34, sorteio",Men's Javelin Throw - F33/34 Draw,"Lançamento do dardo masculino - F33/34, sorteio",Draw,Sorteio
AT,M,673,0,8,Men's Javelin Throw - F40,Lançamento dardo masc - F40,Men's Javelin Throw - F40,Lançamento do dardo masculino - F40,"",""
AT,M,673,1,3,Men's Javelin Throw - F40 Final,"Lançamento dardo masc - F40, final",Men's Javelin Throw - F40 Final,"Lançamento do dardo masculino - F40, final",Final,Final
AT,M,673,9,3,Men's Javelin Throw-F40 Qualifying,"Lançamento dardo masc - F40, class",Men's Javelin Throw - F40 Qualifying,"Lançamento do dardo masculino - F40, classificatórias",Qualifying,Classificatória
AT,M,673,M,6,Men's Javelin Throw - F40 VC,"Lançamento dardo masc - F40, premiação",Men's Javelin Throw - F40 Victory Ceremony,"Lançamento do dardo masculino - F40, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,673,N,7,Men's Javelin Throw - F40 Draw,"Lançamento dardo masc - F40, sorteio",Men's Javelin Throw - F40 Draw,"Lançamento do dardo masculino - F40, sorteio",Draw,Sorteio
AT,M,675,0,8,Men's Javelin Throw - F52/53,Lançamento dardo masc - F52/53,Men's Javelin Throw - F52/53,Lançamento do dardo masculino - F52/53,"",""
AT,M,675,1,3,Men's Javelin Throw - F52/53 Final,"Lançamento dardo masc - F52/53, final",Men's Javelin Throw - F52/53 Final,"Lançamento do dardo masculino - F52/53, final",Final,Final
AT,M,675,9,3,Men's Javelin Throw - F52/53 Qualifying,"Lançamento dardo masc - F52/53, class",Men's Javelin Throw - F52/53 Qualifying,"Lançamento do dardo masculino - F52/53, classificatórias",Qualifying,Classificatória
AT,M,675,M,6,Men's Javelin Throw - F52/53 VC,"Lançamento dardo masc - F52/53,premiação",Men's Javelin Throw - F52/53 Victory Ceremony,"Lançamento do dardo masculino - F52/53, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,675,N,7,Men's Javelin Throw - F52/53 Draw,"Lançamento dardo masc - F52/53, sorteio",Men's Javelin Throw - F52/53 Draw,"Lançamento do dardo masculino - F52/53, sorteio",Draw,Sorteio
AT,M,676,0,8,Men's Javelin Throw - F54/55/56,Lançamento dardo masc - F54/55/56,Men's Javelin Throw - F54/55/56,Lançamento do dardo masculino - F54/55/56,"",""
AT,M,676,1,3,Men's Javelin Throw - F54/55/56 Final,"Lançamento dardo masc - F54/55/56, final",Men's Javelin Throw - F54/55/56 Final,"Lançamento do dardo masculino - F54/55/56, final",Final,Final
AT,M,676,9,3,Men's Javelin Throw - F54/55/56 Qual.,"Lançamento dardo masc - F54/55/56, class",Men's Javelin Throw - F54/55/56 Qualifying,"Lançamento do dardo masculino - F54/55/56, classificatórias",Qualifying,Classificatória
AT,M,676,M,6,Men's Javelin Throw - F54/55/56 VC,"Lançamento dardo masc-F54/55/56,premiaçã",Men's Javelin Throw - F54/55/56 Victory Ceremony,"Lançamento do dardo masculino - F54/55/56, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,676,N,7,Men's Javelin Throw - F54/55/56 Draw,"Lançamento dardo masc-F54/55/56, sorteio",Men's Javelin Throw - F54/55/56 Draw,"Lançamento do dardo masculino - F54/55/56, sorteio",Draw,Sorteio
AT,M,710,0,8,Men's Marathon - T12,Maratona masculina - T12,Men's Marathon - T12,Maratona masculina - T12,"",""
AT,M,710,1,3,Men's Marathon - T12,Maratona masculina - T12,Men's Marathon - T12,Maratona masculina - T12,"",""
