Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
TT,M,009,1,01,Y,1,Men's Singles - Class 9 Gold Medal Match,"Individual masc-classe 9, disputa ouro",Men's Singles - Class 9 Gold Medal Match,"Individual masculino - classe 9, disputa pelo ouro",EventUnit,15,HATH,N,Y,Gold Medal Match,Disputa pelo ouro
TT,M,009,1,02,Y,2,Men's Singles - Class 9 Bronze Mdl Match,"Individual masc-classe 9, disputa bronze",Men's Singles - Class 9 Bronze Medal Match,"Individual masculino - classe 9, disputa pelo bronze",EventUnit,15,HATH,N,Y,Bronze Medal Match,Disputa pelo bronze
TT,M,009,2,00,N,0,Men's Singles - Class 9 Semifinals,"Individual masc - classe 9, semifinais",Men's Singles - Class 9 Semifinals,"Individual masculino - classe 9, semifinais",Phase,14,NONE,N,N,Semifinals,Semifinais
TT,M,009,2,01,Y,0,Men's Singles - Class 9 Semifinal 1,"Individual masc - classe 9, semifinal 1",Men's Singles - Class 9 Semifinal 1,"Individual masculino - classe 9, semifinal 1",EventUnit,15,HATH,N,Y,Semifinal 1,Semifinal 1
TT,M,009,2,02,Y,0,Men's Singles - Class 9 Semifinal 2,"Individual masc - classe 9, semifinal 2",Men's Singles - Class 9 Semifinal 2,"Individual masculino - classe 9, semifinal 2",EventUnit,15,HATH,N,Y,Semifinal 2,Semifinal 2
TT,M,009,3,00,N,0,Men's Singles - Class 9 Quarterfinals,"Individual masc - classe 9, 1/4 final",Men's Singles - Class 9 Quarterfinals,"Individual masculino - classe 9, quartas de final",Phase,14,NONE,N,N,Quarterfinals,Quartas de final
TT,M,009,3,01,Y,0,Men's Singles - Class 9 Quarterfinal 1,"Individual masc - classe 9, 1/4 final 1",Men's Singles - Class 9 Quarterfinal 1,"Individual masculino - classe 9, quartas de final 1",EventUnit,15,HATH,N,Y,Quarterfinal 1,Quartas de final 1
TT,M,009,3,02,Y,0,Men's Singles - Class 9 Quarterfinal 2,"Individual masc - classe 9, 1/4 final 2",Men's Singles - Class 9 Quarterfinal 2,"Individual masculino - classe 9, quartas de final 2",EventUnit,15,HATH,N,Y,Quarterfinal 2,Quartas de final 2
TT,M,009,3,03,Y,0,Men's Singles - Class 9 Quarterfinal 3,"Individual masc - classe 9, 1/4 final 3",Men's Singles - Class 9 Quarterfinal 3,"Individual masculino - classe 9, quartas de final 3",EventUnit,15,HATH,N,Y,Quarterfinal 3,Quartas de final 3
TT,M,009,3,04,Y,0,Men's Singles - Class 9 Quarterfinal 4,"Individual masc - classe 9, 1/4 final 4",Men's Singles - Class 9 Quarterfinal 4,"Individual masculino - classe 9, quartas de final 4",EventUnit,15,HATH,N,Y,Quarterfinal 4,Quartas de final 4
TT,M,009,4,00,N,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",Phase,14,NONE,N,N,First Round,Oitavas de final
TT,M,009,4,01,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,02,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,03,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,04,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,05,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,06,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,4,07,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
