Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
MP2,DES,2,Y,Deodoro Stadium - MP,Stade de Deodoro - MP,Estádio de Deodoro - MP,Deodoro Stadium - Modern Pentathlon,Stade de Deodoro - Pentathlon moderne,Estádio de Deodoro - Pentatlo Moderno,DESMP1,
MP3,YOA,3,Y,Youth Arena - MP,Arène de Jeunesse - MP,Arena da Juventude - MP,Youth Arena - Modern Pentathlon,Arène de la Jeunesse - Pentathlon moderne,Arena da Juventude - Pentatlo Moderno,YOAMP1,
MRC,MRC,,Y,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,MRCFB1,
OAS,OAS,,Y,Olympic Aquatics Stadium,Stade Aquatique Olympique,Estádio Aquático Olímpico,Olympic Aquatics Stadium,Stade Aquatique Olympique,Estádio Aquático Olímpico,,
OGC,OGC,,Y,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,OGCGO1,
OHK,OHK,,Y,Olympic Hockey Centre,Centre Olympique de Hockey,Centro Olímpico de Hóquei,Olympic Hockey Centre,Centre Olympique de Hockey,Centro Olímpico de Hóquei,OHKHO1,
OLS,OLS,,Y,Olympic Stadium,Stade Olympique,Estádio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,,
OSC,OSC,,Y,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,OSCSH1,
OTN,OTN,,Y,Olympic Tennis Centre,Centre Olympique de Tennis,Centro Olímpico de Tênis,Olympic Tennis Centre,Centre Olympique de Tennis,Centro Olímpico de Tênis,OTNTE1,
OW1,FTC,1,Y,Fort Copacabana - OW,Fort de Copacabana - OW,Forte de Copacabana - OW,Fort Copacabana - Marathon Swimming,Fort de Copacabana - Natation de marathon,Forte de Copacabana - Maratonas Aquáticas,FTCOW1,
PON,PON,,Y,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,,
RC2,RC2,,Y,Riocentro - Pavilion 2,Riocentro - Pavillion 2,Riocentro - Pavilhão 2,Riocentro - Pavilion 2,Riocentro - Pavillion 2,Riocentro - Pavilhão 2,RC2WL1,
RC3,RC3,,Y,Riocentro - Pavilion 3,Riocentro - Pavillion 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavillion 3,Riocentro - Pavilhão 3,RC3TT1,
RC4,RC4,,Y,Riocentro - Pavilion 4,Riocentro - Pavillion 4,Riocentro - Pavilhão 4,Riocentro - Pavilion 4,Riocentro - Pavillion 4,Riocentro - Pavilhão 4,RC4BD1,
RC6,RC6,,Y,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,RC6BX1,
RO1,LAG,1,Y,Lagoa Stadium - Rowing,Stade de Lagoa - Aviron,Estádio da Lagoa - Remo,Lagoa Stadium - Rowing,Stade de Lagoa - Aviron,Estádio da Lagoa - Remo,LAGRO1,
ROA,ROA,,Y,Rio Olympic Arena,Arène Olympique de Rio,Arena Olímpica do Rio,Rio Olympic Arena,Arène Olympique de Rio,Arena Olímpica do Rio,,
ROV,ROV,,Y,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,ROVCT1,
RU1,DES,1,Y,Deodoro Stadium - Rugby Sevens,Stade de Deodoro - Rugby à 7,Estádio de Deodoro-Rugby de 7,Deodoro Stadium - Rugby Sevens,Stade de Deodoro - Rugby à 7,Estádio de Deodoro - Rugby de 7,DESRU1,
SA1,GLO,1,Y,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,GLOSA1,
SA2,GLO,2,Y,Ponte,Ponte,Ponte,Ponte,Ponte,Ponte,GLOSA1,
SA3,GLO,3,Y,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,GLOSA1,
SA4,GLO,4,Y,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,GLOSA1,
SA5,GLO,5,Y,Niterói,Niterói,Niterói,Niterói,Niterói,Niterói,GLOSA1,
SA6,GLO,6,Y,Pai,Pai,Pai,Pai,Pai,Pai,GLOSA1,
SBD,SBD,,Y,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,
SH1,OSC,1,Y,Olympic Shooting - Final Range,Ctr Olympique de Tir - Finales,Centro Olímpico de Tiro-Finais,Olympic Shooting Centre-Pistol & Rifle Final Range,Ctr. Olympique de Tir - Finales pistolet et rifle,Centro Olímpico de Tiro - Estande de Finais,OSCSH1,
SH2,OSC,2,Y,Olympic Shooting - 10m Range,Centre Olympique de Tir - 10m,Centro Olímpico de Tiro - 10m,Olympic Shooting Centre - Pistol & Rifle 10m Range,Centre Olympique de Tir - 10m pistolet et rifle,Centro Olímpico de Tiro - Estande de 10m,OSCSH1,
SH3,OSC,3,Y,Olympic Shooting - 25m Range,Centre Olympique de Tir - 25m,Centro Olímpico de Tiro - 25m,Olympic Shooting Centre - Pistol & Rifle 25m Range,Centre Olympique de Tir - 25m pistolet et rifle,Centro Olímpico de Tiro - Estande de 25m,OSCSH1,
SH4,OSC,4,Y,Olympic Shooting - 50m Range,Centre Olympique de Tir - 50m,Centro Olímpico de Tiro - 50m,Olympic Shooting Centre - Pistol & Rifle 50m Range,Centre Olympique de Tir - 50m pistolet et rifle,Centro Olímpico de Tiro - Estande de 50m,OSCSH1,
SH5,OSC,5,Y,Olympic Shooting - Shotgun B,Centre Olympique de Tir - prél,Centro Olímpico de Tiro - Qual,Olympic Shooting Centre-Shotgun Preliminary RangeB,Ctr Olympique de Tir - Stand de tir au fusil prél.,Centro Olímpico de Tiro - Pedana B,OSCSH1,
SH6,OSC,6,Y,Olympic Shooting - Shotgun A,Ctr Olympique de Tir - Finales,Centro Olímpico de Tiro-Finais,Olympic Shooting Centre - Shotgun Finals Range A,Centre Olympique de Tir - Stand finales fusil,Centro Olímpico de Tiro - Pedana A,OSCSH1,
SH7,OSC,7,Y,Olympic Shooting - Shotgun C,Centre Olympique de Tir - prél,Centro Olímpico de Tiro - Qual,Olympic Shooting Centre-Shotgun Preliminary RangeC,Ctr Olympique de Tir - Stand de tir au fusil prél.,Centro Olímpico de Tiro - Pedana C,OSCSH1,
SPA,SPA,,Y,Itaquera Arena,Itaquera Arena,Arena Itaquera,Itaquera Arena,Itaquera Arena,Arena Itaquera,SPAFB1,
SW1,OAS,1,Y,Olympic Aquatics Stadium - SW,Stade Aquatique Olympique - SW,Estádio Aquático Olímpico - SW,Olympic Aquatics Stadium - Swimming,Stade Aquatique Olympique - Natation,Estádio Aquático Olímpico - Natação,OASSW1,
SY1,AQC,1,Y,Maria Lenk Aquatics - Synchro,Ctr Aquatique Maria Lenk -Sync,Ctr Aquático Maria Lenk-sincro,Maria Lenk Aquatics Centre - Synchro swimming pool,Centre Aquatique Maria Lenk - Natation synchronisé,Centro Aquático Maria Lenk - Nado sincronizado,AQCSY1,
