Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
SBD,M,BSL-----01010-----,----,8,,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,,,
SBD,M,BSL-----01010-----,DRAW,7,D,"Men's Banked Slalom SB-UL, Draw","남자 뱅크드 슬라롬 SB-UL, 추첨","Men's Banked Slalom SB-UL, Draw","남자 뱅크드 슬라롬 SB-UL, 추첨",Draw,추첨,
SBD,M,BSL-----01010-----,FNL-,3,1,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,,,
SBD,M,BSL-----01010-----,VICT,6,V,"Men's Banked Slalom SB-UL, Vict. Cer.","남자 뱅크드 슬라롬 SB-UL, 메달 시상식","Men's Banked Slalom SB-UL, Victory Ceremony","남자 뱅크드 슬라롬 SB-UL, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,M,BSL-----10010-----,----,8,,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,,,
SBD,M,BSL-----10010-----,DRAW,7,D,"Men's Banked Slalom SB-LL1, Draw","남자 뱅크드 슬라롬 SB-LL1, 추첨","Men's Banked Slalom SB-LL1, Draw","남자 뱅크드 슬라롬 SB-LL1, 추첨",Draw,추첨,
SBD,M,BSL-----10010-----,FNL-,3,1,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,,,
SBD,M,BSL-----10010-----,VICT,6,V,"Men's Banked Slalom SB-LL1, Vict. Cer.","남자 뱅크드 슬라롬 SB-LL1, 메달 시상식","Men's Banked Slalom SB-LL1, Victory Ceremony","남자 뱅크드 슬라롬 SB-LL1, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,M,BSL-----20010-----,----,8,,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,,,
SBD,M,BSL-----20010-----,DRAW,7,D,"Men's Banked Slalom SB-LL2, Draw","남자 뱅크드 슬라롬 SB-LL2, 추첨","Men's Banked Slalom SB-LL2, Draw","남자 뱅크드 슬라롬 SB-LL2, 추첨",Draw,추첨,
SBD,M,BSL-----20010-----,FNL-,3,1,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,,,
SBD,M,BSL-----20010-----,VICT,6,V,"Men's Banked Slalom SB-LL2, Vict. Cer.","남자 뱅크드 슬라롬 SB-LL2, 메달 시상식","Men's Banked Slalom SB-LL2, Victory Ceremony","남자 뱅크드 슬라롬 SB-LL2, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,M,SBX---------------,----,8,,Men's Snowboard Cross,남자 스노보드 크로스,Men's Snowboard Cross,남자 스노보드 크로스,,,ASM0900
SBD,M,SBX---------------,TRNO,1,T,Men's Snowboard Cross Training,남자 스노보드 크로스 공식연습,Men's Snowboard Cross Training,남자 스노보드 크로스 공식연습,Training,공식연습,ASM190O
SBD,M,SBX-----01010-----,----,8,,Men's Snowboard Cross SB-UL,남자 스노보드 크로스 SB-UL ,Men's Snowboard Cross SB-UL,남자 스노보드 크로스 SB-UL ,,,
SBD,M,SBX-----01010-----,DRAW,7,D,"Men's Snowboard Cross SB-UL, Draw","남자 스노보드 크로스 SB-UL, 추첨","Men's Snowboard Cross SB-UL, Draw","남자 스노보드 크로스 SB-UL, 추첨",Draw,추첨,
SBD,M,SBX-----01010-----,FNL-,3,1,"Men's Snowboard Cross SB-UL, Final","남자 스노보드 크로스 SB-UL, 결승","Men's Snowboard Cross SB-UL, Final","남자 스노보드 크로스 SB-UL, 결승",Final,결승,
